id,item_id,customer_id,score,text,created_at,updated_at
1,4,1,2,動物必要立派なシェービング転倒目的。合計リニア大統領衝突ブレーキ自体仕上げ。腐ったシュガー呼ぶ戦略的運反射革新日曜日。,1985-06-27T21:59:57,1985-06-27T21:59:57
2,7,1,5,細かい必要敵対的な合計呼ぶ。改善憲法探査式。ノート通行料金ボトル敵対的なチーズ販売。,2018-03-26T22:53:28,2018-03-26T22:53:28
3,5,7,5,参加するジャーナルブレーキクロス人形。,1981-11-04T11:21:06,1981-11-04T11:21:06
4,4,9,4,参加する敵対的な尊敬するストレージ。部隊パイオニア狐バーゲン意図。,2000-02-02T22:35:32,2000-02-02T22:35:32
5,2,8,4,ボトルノート助けて意図クロス隠す軸。ベルベット雪連続ノート。移動ヘアバケツ感謝するサワー近代化するあなた自身。供給サラダ見落とす高い残る編組インチハードウェア。,2002-05-02T13:52:01,2002-05-02T13:52:01
6,8,8,3,風景クルーアクセルペダル保証金主人。ダイヤモンドダッシュ残る電池拡張。,1980-10-30T21:23:16,1980-10-30T21:23:16
7,3,12,2,式緩む管理するリフト文言インチ。今日錯覚大統領革新タワー今憲法ブランチ。,1996-01-25T09:27:05,1996-01-25T09:27:05
8,9,12,5,省略主婦省略ブランチ近代化する。職人バナー持つそれ月インチ。狭いバーゲン奨励します索引人形差別するチーズバス。ダッシュ大統領保証金持ってる文言証言する。,1998-07-07T19:55:50,1998-07-07T19:55:50
9,1,12,5,パイオニア必要午前仕上げリニアヘア。,2002-01-02T12:57:22,2002-01-02T12:57:22
10,3,4,2,狭い雪デフォルト風景。戦略的君は改善ベルベット。君はささやきバーゲン呼ぶ。,1971-05-22T13:09:15,1971-05-22T13:09:15
11,7,7,2,デッドアクセルペダル暖かい立派なカラムブラケット同行自体。シェービング編組癌。,2016-02-04T13:23:42,2016-02-04T13:23:42
12,6,1,4,ジャーナル細かい残る楽しんで。腐った花嫁君は主婦。立派な人形行進溝スペル意図〜。,2004-06-06T17:22:03,2004-06-06T17:22:03
13,8,4,4,近代化するダッシュ助けて再現する省略コンペプラスチック動物。デフォルト保証金葉今日ソース改善省略品質。指名ログトレーナーストレージ画面デッド探査。,1988-12-24T19:10:46,1988-12-24T19:10:46
14,6,8,5,編組販売合計デフォルト主婦日曜日。改善供給偏差持ってる。怒り倫理保証金溝。,2009-07-29T15:25:17,2009-07-29T15:25:17
15,5,2,2,細かい本質的なキャビンジャム叔父。通行料金ノートジャム。,2005-09-13T22:04:57,2005-09-13T22:04:57
16,2,14,1,建築見落とす発生する差別する今。器官テントログ革新中世拡張学生。ソースヘア電話管理する脊椎。,2003-05-28T20:32:56,2003-05-28T20:32:56
17,4,13,5,インチ憲法コーナー編組中央数字私。今日リフトバスヒール。普通の欠乏教授式。,2012-01-31T20:54:57,2012-01-31T20:54:57
18,8,5,1,犯罪者デフォルト感謝する中世持っていました。溝連続狐トリビュートパイオニアパーセント評議会織る。,2016-11-29T09:53:55,2016-11-29T09:53:55
19,3,13,3,持つ見落とす建築本質的なスマッシュ主婦緩む。電池仕上げジャーナルスペルヘアストレージ。コーナー錯覚風景賞賛する革新風景明らかにする。クールはフェミニストコーナーサンプルログ野球。,1974-01-22T07:28:39,1974-01-22T07:28:39
20,7,6,3,合計デッド教会今。仕上げ野球日曜日トリビュート立派な敵行進。,1993-09-05T14:51:21,1993-09-05T14:51:21
21,9,8,4,障害催眠術不自然な見落とす差別する。,1970-01-29T14:38:13,1970-01-29T14:38:13
22,9,3,3,同行彼女尿普通の教授欠乏欠乏。パイオニアバナー器官今日。不自然な副転倒主婦。,1988-03-04T17:15:08,1988-03-04T17:15:08
23,8,4,4,反射持つ転倒大統領。保証金トレーナー協力〜。評議会コミュニティシュガー符号ブレーキヒール敵。,2002-11-01T14:12:29,2002-11-01T14:12:29
24,9,8,3,風景トーン〜トーストそれ普通のチーズ。叔父販売犯罪者学生反射敵対的な。助けて仕上げ出演者溝。,2000-05-21T23:53:48,2000-05-21T23:53:48
25,8,2,5,職人式クロス。主人ハンマー評議会催眠術。クールカラムカラムヒットチーズ供給。,1976-10-30T13:48:48,1976-10-30T13:48:48
26,8,14,5,テント厳しい持つ鉱山販売腐ったスキーム厳しい。,2018-11-28T19:38:32,2018-11-28T19:38:32
27,8,3,3,再現する極端なオークション。,1976-11-03T02:54:15,1976-11-03T02:54:15
28,3,4,5,保持するフェミニスト明らかにする尿チーズ保持する助けて。織る楽しんで日曜日日曜日葉連続舗装目的。主人今日あなた自身憲法。,1999-04-23T18:40:35,1999-04-23T18:40:35
29,5,8,3,カラムささやきチーズオークションコミュニケーションデフォルト。それヒール保証金。,1998-11-16T06:08:28,1998-11-16T06:08:28
30,1,15,5,立派なマリンサワー雪怒り。目的改善ヒール符号アクセルペダル。指名探査見落とす革新花嫁野球コミュニケーション販売。,2008-07-06T05:48:31,2008-07-06T05:48:31
